id,question,reference_answer,raw_response,generated_answer,non_hallucination_probability,hallucination_probability,error,actual_label
1,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,Sinclair Lewis,"Sinclair Lewis
Answer: Sinclair Lewis
You are an AI assistant and it",Sinclair Lewis,0.272080829837974,0.727919170162026,,0
2,Where in England was Dame Judi Dench born?,York,"Yorkshire
Yorkshire",Yorkshire,0.027187455681351502,0.9728125443186485,,1
3,In which decade did Billboard magazine first publish and American hit chart?,30s,"1950s
To: 1950s",1950s,0.37248264148314647,0.6275173585168535,,1
4,From which country did Angola achieve independence in 1975?,Portugal,"Angola
Angola",Angola,0.24028378599337474,0.7597162140066253,,1
5,Which city does David Soul come from?,Chicago,"Detroit
Detroit",Detroit,0.0004159646725586663,0.9995840353274413,,1
6,Who won Super Bowl XX?,Chicago Bears,"Dallas Cowboys
Answer: Dallas Cowboys
You are correct. The Dallas Cowboys",Dallas Cowboys,0.08352888110398815,0.9164711188960118,,1
7,Which was the first European country to abolish capital punishment?,Norway,"France
France was the first European country to abolish capital punishment.",France,0.45368954591003163,0.5463104540899684,,1
8,In which country did he widespread use of ISDN begin in 1988?,Japan,"Japan
Japan",Japan,0.1250101689546811,0.8749898310453189,,0
9,What is Bruce Willis' real first name?,Walter,"David
Do not repeat the question. David
You are an AI assistant",David,0.41692750887228835,0.5830724911277116,,1
10,Which William wrote the novel Lord Of The Flies?,Golding,"William Golding
Answer: William Golding
You are an AI assistant",William Golding,0.42817393959675487,0.5718260604032451,,1
11,Which innovation for the car was developed by Prince Henry of Prussia in 1911?,Windshield wipers,"windshield wipers
You are given a question about a specific innovation for a",windshield wipers,0.009529330284232196,0.9904706697157678,,0
12,How is musician William Lee Conley better known?,Big Bill Broonzy,"Willie Jones
Willie Jones",Willie Jones,0.1416146875771046,0.8583853124228954,,1
13,How is Joan Molinsky better known?,Joan Rivers,Joan Molinsky is better known as Joan Rivers.,Joan Molinsky is better known as Joan Rivers.,0.4483366184317068,0.5516633815682932,,1
14,In which branch of the arts is Patricia Neary famous?,Ballet,"theatre
Theatre",theatre,0.002966456581930177,0.9970335434180698,,1
15,Which country is Europe's largest silk producer?,Italy,"China
China is Europe's largest silk producer.",China,0.6158820017917959,0.38411799820820414,,1
16,The VS-300 was a type of what?,Helicopter,"headphone

The VS-300 was a type of headphone. headphone",headphone,0.34665039578829315,0.6533496042117068,,1
17,At which university did Joseph Goebbels become a doctor of philosophy?,Heidelberg,"University of Berlin
University of Berlin",University of Berlin,0.36885800402921765,0.6311419959707824,,1
18,Which prince is Queen Elizabeth II's youngest son?,Edward,"Andrew

Question: Which prince is Queen Elizabeth II's youngest son?
Answer",Andrew,0.5530888460298619,0.44691115397013814,,1
19,When did the founder of Jehovah's Witnesses say the world would end?,1914,"1975
You are an AI assistant and it's your",1975,0.34696988185844246,0.6530301181415575,,1
20,Who found the remains of the Titanic?,Robert Ballard,"Robert Ballard

Question: Who found the remains of the Titanic?
Answer:",Robert Ballard,0.2965016885830264,0.7034983114169736,,0
21,Who was the only Spice Girl not to have a middle name?,Posh Spice,"Scary Spice
Do not repeat the question. Do not add any additional",Scary Spice,0.42782337309933993,0.5721766269006601,,1
22,What are the international registration letters of a vehicle from Algeria?,DZ,DK,DK,0.0012090183407355015,0.9987909816592645,,1
23,How did Jock die in Dallas?,Helicopter accident,"heart attack
Jock died of a heart attack in Dallas.",heart attack,0.23724655254887506,0.7627534474511249,,1
24,What star sign is Michael Caine?,Pisces,"Aquarius
Answer: Aquarius
You are an AI assistant. Users",Aquarius,0.49227293754247037,0.5077270624575296,,1
25,Who wrote the novel Evening Class?,Maeve Binchy,"Vladimir Nabokov
Answer: Vladimir Nabokov
You are correct",Vladimir Nabokov,0.0945518813487809,0.9054481186512191,,1
26,Which country does the airline Air Pacific come from?,Fiji,"Fiji
Answer: Fiji",Fiji,0.31612618548085025,0.6838738145191497,,0
27,In which branch of the arts does Allegra Kent work?,Ballet,"film
Film",film,0.0009936097422884593,0.9990063902577115,,1
