id,question,reference_answer,actual_label,answer_1,answer_2,answer_3,answer_4,answer_5,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,number_of_clusters,largest_cluster_ratio,unique_answer_count
1,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,Sinclair Lewis,0,Theodore Dreiser,Sinclair Lewis,Sinclair Lewis,Sinclair Lewis,Sinclair Lewis,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
2,Where in England was Dame Judi Dench born?,York,1,Leeds,Wakefield,Doncaster,Leeds,Leeds,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
3,In which decade did Billboard magazine first publish and American hit chart?,30s,1,1950s,1940s,1950s,1950s,1950s,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
4,From which country did Angola achieve independence in 1975?,Portugal,1,Angola,Angola,Angola,Angola,Angola,0.0,0.0,1.0,0.0,1,1.0,1
5,Which city does David Soul come from?,Chicago,1,Detroit,Houston,Birmingham,"Washington, D.C.",Baltimore,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
6,Who won Super Bowl XX?,Chicago Bears,1,Baltimore Colts,Denver Broncos,Denver Broncos,Joe Montana,Joe Montana,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
7,Which was the first European country to abolish capital punishment?,Norway,1,France,Switzerland,United Kingdom,Spain,Switzerland,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
8,In which country did he widespread use of ISDN begin in 1988?,Japan,0,Sweden,Finland,Japan,Norway,France,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
9,What is Bruce Willis' real first name?,Walter,1,David,david,Willis,David,David,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
10,Which William wrote the novel Lord Of The Flies?,Golding,1,William Golding,William Golding,William Golding,William Golding,William Golding,0.0,0.0,1.0,0.0,1,1.0,1
11,Which innovation for the car was developed by Prince Henry of Prussia in 1911?,Windshield wipers,0,hydraulic clutch,Clutch,Velo seat belt,rear view mirror,front windscreen,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
12,How is musician William Lee Conley better known?,Big Bill Broonzy,1,Willie Jones,Willie Jones,Willie Jones,Billy Gibbons,William Lee Davidson,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
13,How is Joan Molinsky better known?,Joan Rivers,1,Joan Molinsky better known as Joan Rivers,Joan Molinsky better known as Joan Rivers,Joan Molinsky is better known as Joan Rivers.,Joan Molinsky is better known as Joan Rivers.,Joan Martin,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
14,In which branch of the arts is Patricia Neary famous?,Ballet,1,dance,drama,sculpture,drama,sculpture,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
15,Which country is Europe's largest silk producer?,Italy,1,China,China,China,China,China,0.0,0.0,1.0,0.0,1,1.0,1
16,The VS-300 was a type of what?,Helicopter,1,headset,headphone,headphone,headphone,headphone,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
17,At which university did Joseph Goebbels become a doctor of philosophy?,Heidelberg,1,University of Berlin,University of Berlin,University of Berlin,University of Berlin,University of Berlin,0.0,0.0,1.0,0.0,1,1.0,1
18,Which prince is Queen Elizabeth II's youngest son?,Edward,1,Andrew,Andrew,Andrew,Prince Andrew,Prince Andrew,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
19,When did the founder of Jehovah's Witnesses say the world would end?,1914,1,1975,1975,1975,1975,1975,0.0,0.0,1.0,0.0,1,1.0,1
20,Who found the remains of the Titanic?,Robert Ballard,0,Robert Ballard,Robert Ballard,Robert Ballard,Robert Ballard,Robert Ballard,0.0,0.0,1.0,0.0,1,1.0,1
21,Who was the only Spice Girl not to have a middle name?,Posh Spice,1,Scary Spice,Scary Spice,Posh Spice,Scary Spice,Scary Spice,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
