id,wepr_non_hallucination_probability,wepr_hallucination_probability,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,actual_label
1,0.519466870024081,0.480533129975919,0.5004024235381879,0.3109175070825711,0.6890824929174288,0.3109175070825711,0
2,0.0174895850249291,0.9825104149750707,0.0,0.0,1.0,0.0,1
3,0.8848748653345107,0.1151251346654893,0.6730116670092565,0.4181656600790517,0.5818343399209482,0.4181656600790517,1
4,0.9559624666381388,0.0440375333618612,0.0,0.0,1.0,0.0,1
5,0.0078499319244922,0.9921500680755078,1.3321790402101223,0.8277293767706428,0.1722706232293571,0.8277293767706428,1
6,0.7241959271907317,0.2758040728092683,1.0549201679861442,0.6554587535412857,0.3445412464587143,0.6554587535412857,1
7,0.3170740360824121,0.6829259639175879,1.0549201679861442,0.6554587535412857,0.3445412464587143,0.6554587535412857,1
8,0.4078770395361107,0.5921229604638892,0.5004024235381879,0.3109175070825711,0.6890824929174288,0.3109175070825711,0
9,0.5302502885230731,0.4697497114769268,1.0549201679861442,0.6554587535412857,0.3445412464587143,0.6554587535412857,0
10,0.8200859408580314,0.1799140591419685,0.0,0.0,1.0,0.0,0
