id,actual_label,hallucination_probability,semantic_consistency,semantic_entropy,unique_answer_count,majority_agreement
1,1,0.9641030268705044,0.0397702821392388,1.0549201679861442,3,0.4
2,1,0.920392517553499,0.0290494055453311,0.6730116670092565,3,0.4
3,1,0.8104476983438588,0.0390359525563187,1.3321790402101223,4,0.4
4,1,0.993859417532635,0.0,1.6094379124341005,5,0.2
5,1,0.9673957393299102,0.0,1.6094379124341005,5,0.2
6,1,0.8065519480513214,0.0397702821392388,1.0549201679861442,4,0.4
7,0,0.562422372099992,0.2780719051126377,0.5004024235381879,3,0.6
8,1,0.8459733173223917,0.0390359525563187,1.3321790402101223,4,0.4
9,1,0.942013369447142,0.0,1.6094379124341005,5,0.2
10,0,0.25999901736242,1.0,0.0,2,0.6
11,0,0.4341615974549929,1.0,0.0,1,1.0
12,1,0.8942782936228155,0.0390359525563187,1.3321790402101223,4,0.4
13,1,0.9425886965852,0.2780719051126377,0.5004024235381879,3,0.6
14,0,0.3263290507707524,1.0,0.0,1,1.0
15,1,0.8768948601452892,0.0397702821392388,1.0549201679861442,3,0.4
16,0,0.203890285739055,0.2780719051126377,0.5004024235381879,2,0.8
17,1,0.9984500293514776,0.0,1.6094379124341005,5,0.2
18,0,0.5753390736395461,1.0,0.0,1,1.0
19,1,0.9278846016930264,1.0,0.0,1,1.0
20,1,0.5872314969058499,1.0,0.0,1,1.0
21,1,0.8699253897148205,0.0397702821392388,1.0549201679861442,3,0.4
22,0,0.5367324017599799,1.0,0.0,1,1.0
23,1,0.7761197971123609,0.0397702821392388,1.0549201679861442,3,0.4
24,0,0.4271820939892629,0.0397702821392388,1.0549201679861442,3,0.4
25,0,0.3709574229637988,0.2780719051126377,0.5004024235381879,2,0.8
26,0,0.4549283288075563,1.0,0.0,1,1.0
27,1,0.2431936416294102,1.0,0.0,1,1.0
28,1,0.7235486232110151,0.0390359525563187,1.3321790402101223,4,0.4
29,1,0.9080766160389728,0.0390359525563187,1.3321790402101223,4,0.4
30,0,0.5712838514525816,0.1350264792820728,0.9502705392332348,3,0.6
31,1,0.9045923651444808,0.0390359525563187,1.3321790402101223,4,0.4
32,1,0.1328302037610351,0.1350264792820728,0.9502705392332348,3,0.6
33,1,0.987278481610096,0.0390359525563187,1.3321790402101223,5,0.2
34,0,0.6541806620046804,1.0,0.0,1,1.0
35,0,0.9197876178809375,1.0,0.0,1,1.0
36,1,0.843834832038812,0.2780719051126377,0.5004024235381879,2,0.8
37,0,0.9325257824589976,1.0,0.0,1,1.0
38,0,0.3726579807552724,1.0,0.0,1,1.0
39,1,0.8161203238549161,0.0390359525563187,1.3321790402101223,4,0.4
40,1,0.8769030113974307,0.0,1.6094379124341005,5,0.2
41,1,0.8546100540779574,0.1350264792820728,0.9502705392332348,3,0.6
42,1,0.9562905124792276,0.0,1.6094379124341005,5,0.2
43,1,0.5880201271877195,0.2780719051126377,0.5004024235381879,2,0.8
44,1,0.9882024009626588,0.0390359525563187,1.3321790402101223,4,0.4
45,1,0.4415727574798236,0.0,1.6094379124341005,5,0.2
46,1,0.9500746725601182,0.2780719051126377,0.5004024235381879,2,0.8
47,1,0.893080089273953,0.0290494055453311,0.6730116670092565,2,0.6
