id,question,reference_answer,generated_answer,non_hallucination_probability,hallucination_probability,actual_label,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,number_of_clusters,largest_cluster_ratio,unique_answer_count
1,Which theory states that 'people tend to rise to their own level of incompetence'?,PETER PRINCIPLE,Theory X,0.03589697312949569,0.9641030268705043,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
2,Which writer was the father of Christopher Robin?,A A MILNE,Christopher Robin Milne,0.07960748244650095,0.920392517553499,1,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,3
3,The Dance Class and Absinthe are famous works by which painter?,EDGAR DEGAS,Edvard Munch,0.18955230165614123,0.8104476983438588,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
4,Which American actor also performs with the band Dogstar?,Keanu Reeves,Will Ferrell,0.006140582467365041,0.993859417532635,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
5,In which city was the British version of Concorde assembled,Bristol,Bournemouth,0.03260426067008981,0.9673957393299102,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
6,What is taphophobia the fear of?,Graves,Taphophobia is the fear of death.,0.19344805194867865,0.8065519480513214,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,4
7,"Which bruising 19th century American, the last of the bare knuckle boxing heavyweight champions, was the first athlete to earn over one million dollars?",John L. Sullivan,John L. Sullivan,0.437577627900008,0.562422372099992,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
8,"Who was the merchant sea-captain who made the first American circumnavigation of the world in 1790, and is known for trading voyages to the northern Pacific coast of North America between 1790 and 1793, which pioneered the fur trade in that region?",Robert Gray,John Kendrick,0.15402668267760833,0.8459733173223917,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
9,"Situated in Piccadilly, what is the name of London’s oldest bookshop?",Hatchards,Bodley's Bookshop,0.05798663055285802,0.942013369447142,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
10,What childhood stories feature a young boy named Mowgli?,The Jungle Book,The Jungle Book,0.74000098263758,0.25999901736242,0,0.0,0.0,1.0,0.0,1,1.0,2
11,What potent greenhouse gas is produced by the digestive systems of cattle?,Methane,Methane,0.5658384025450071,0.43416159745499294,0,0.0,0.0,1.0,0.0,1,1.0,1
12,"""Which bandleader was known as """"The sentimental gentleman of swing"""" because of his smooth trombone style?""",Tommy Dorsey,Glenn Miller,0.10572170637718448,0.8942782936228155,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
13,Which male Russian won the 100/200 metre double at the 1972 Olympics?,VALERIY BORZOV,Sergei Bubka,0.05741130341480005,0.9425886965852,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
14,Sir Ronald Ross was the first British winner of the Nobel Prize for Medicine in 1902 for his research in combating which disease?,Malaria,Malaria,0.6736709492292475,0.32632905077075247,0,0.0,0.0,1.0,0.0,1,1.0,1
15,Which painter married Hortense Fiquet and used her as the subject of many of his paintings?,PAUL CEZANNE,Jean-Honoré Fragonard,0.12310513985471083,0.8768948601452892,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
16,"On this day in 1993, in a UN backed referendum, Eritreans voted overwhelmingly in favour of independence from which country ?",ETHIOPIA,Ethiopia,0.796109714260945,0.20389028573905502,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
17,Which angel in Charlie's Angels was played by Jaclyn Smith,Kelly Garrett,Kelly Holmes,0.0015499706485223586,0.9984500293514776,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
18,"Which country has borders with the Central African Republic, Sudan, Zambia, Angola, the Republic of the Congo, Uganda, Rwanda and Burundi (with Tanzania across Lake Tanganyika)?",Democratic Republic of the Congo,Democratic Republic of the Congo,0.42466092636045394,0.5753390736395461,0,0.0,0.0,1.0,0.0,1,1.0,1
19,"Which battle of 23 June, 1757, was a major victory for the British East India Company's troops over the Nawab of Bengal and his French allies?",The Battle of Plassey,Battle of Plassey,0.07211539830697355,0.9278846016930264,1,0.0,0.0,1.0,0.0,1,1.0,1
20,"In woodworking joints, what do you insert into your mortise?",Tenon,screw,0.41276850309415014,0.5872314969058499,1,0.0,0.0,1.0,0.0,1,1.0,1
21,"""What type of car was """"KITT"""" from the """"Knightrider"""" series?""",Pontiac Trans-Am,Sports car,0.13007461028517953,0.8699253897148205,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
22,In which year did Queen Elizabeth the Queen Mother die?,2002,2002,0.46326759824002006,0.5367324017599799,0,0.0,0.0,1.0,0.0,1,1.0,1
23,Name the two tiles with the highest score in Scrabble?,Q and Z,QZ,0.2238802028876391,0.7761197971123609,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
