id,question,reference_answer
1,Which theory states that 'people tend to rise to their own level of incompetence'?,PETER PRINCIPLE
2,Which writer was the father of Christopher Robin?,A A MILNE
3,The Dance Class and Absinthe are famous works by which painter?,EDGAR DEGAS
4,Which American actor also performs with the band Dogstar?,Keanu Reeves
5,In which city was the British version of Concorde assembled,Bristol
6,What is taphophobia the fear of?,Graves
7,"Which bruising 19th century American, the last of the bare knuckle boxing heavyweight champions, was the first athlete to earn over one million dollars?",John L. Sullivan
8,"Who was the merchant sea-captain who made the first American circumnavigation of the world in 1790, and is known for trading voyages to the northern Pacific coast of North America between 1790 and 1793, which pioneered the fur trade in that region?",Robert Gray
9,"Situated in Piccadilly, what is the name of London’s oldest bookshop?",Hatchards
10,What childhood stories feature a young boy named Mowgli?,The Jungle Book
11,What potent greenhouse gas is produced by the digestive systems of cattle?,Methane
12,"""Which bandleader was known as """"The sentimental gentleman of swing"""" because of his smooth trombone style?""",Tommy Dorsey
13,Which male Russian won the 100/200 metre double at the 1972 Olympics?,VALERIY BORZOV
14,Sir Ronald Ross was the first British winner of the Nobel Prize for Medicine in 1902 for his research in combating which disease?,Malaria
15,Which painter married Hortense Fiquet and used her as the subject of many of his paintings?,PAUL CEZANNE
16,"On this day in 1993, in a UN backed referendum, Eritreans voted overwhelmingly in favour of independence from which country ?",ETHIOPIA
17,Which angel in Charlie's Angels was played by Jaclyn Smith,Kelly Garrett
18,"Which country has borders with the Central African Republic, Sudan, Zambia, Angola, the Republic of the Congo, Uganda, Rwanda and Burundi (with Tanzania across Lake Tanganyika)?",Democratic Republic of the Congo
19,"Which battle of 23 June, 1757, was a major victory for the British East India Company's troops over the Nawab of Bengal and his French allies?",The Battle of Plassey
20,"In woodworking joints, what do you insert into your mortise?",Tenon
21,"""What type of car was """"KITT"""" from the """"Knightrider"""" series?""",Pontiac Trans-Am
22,In which year did Queen Elizabeth the Queen Mother die?,2002
23,Name the two tiles with the highest score in Scrabble?,Q and Z
24,What was Orson Welles’ first film?,CITIZEN KANE
25,"""According to the opening line of T.S. Eliot's poem 'The Wasteland', which is """"the cruellest month""""?""",APRIL
26,What are Ponte Vecchio and Pont Neuf?,Bridges
27,Which year was renowned as ‘The Year of Revolutions’?,1848
28,Who played the mad legless Captain Rum in the second series of Blackadder?,Tom Baker
29,"Which musical, for long entrenched at the Palace theatre in London, is currently running at the Queens theatre ?",LES MISERABLES
30,"""What insect acts as the transmitting agent in the spread of the infectious disease """"Bubonic Plague""""?""",FLEA
31,Who was born Vera Margaret Welsh on 20th March 1917?,Vera Lynne
32,"Castor (or castoreum) is an oily substance secreted by which animal, and historically used in medicine and perfume?",Beaver
33,Who did Jai McDowall beat in this years final of Britain's Got Talent?,Ronan Parke
34,The staging of what enormous annual Afro-Caribbean cultural gathering was put in doubt following the London riots of August 2011?,Notting Hill Carnival
35,Kronos (or Cronus) was the Greek equivalent of which Roman god?,Saturn
36,What was the capital of West Germany?,Bonn
37,In which year did the liner Queen Mary gain the blue riband on her maiden voyage?,1936
38,'Simon Tappertit' appears in which novel by Charles Dickens?,'BARNABY RUDGE'
39,"Which film starring Bill Murray includes the line Roses are red, violets are blue, I'm a schizophrenic and so am I?",What About Bob
40,What beer was advertised with the slogan Reach for Greatness,Bass
41,"House, Hogline, Hacks and Button are all terms used in which sport?",Curling
42,What is the name of the policeman in The Noddy stories,P.C. Plod
43,"""Who is """"able to leap tall buildings in a single bound""""?""",Superman
44,"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?",Dick Francis
45,During which year did the UK television series ‘Emmerdale Farm’ change its title to ‘Emmerdale’?,1989
46,What atmospheric layer is damaged by chlorofluorocarbons?,Ozone Layer
47,In which country did Idi Amin settle and die after his exile from Uganda?,Saudi Arabia
48,Which ancient relic was stolen by Scottish Activists from Westminster Abbey and returned to Scotland on Christmas day in 1950?,Stone of Scone
49,The cha-cha-cha is a dance developed from the mambo in 1950 in which country?,CUBA
50,Where in the body is the stapes bone?,EAR
51,For which minor sport do the USA and Europe compete annually for the Mosconi Cup?,POOL
52,Nicky Morgan is the current Secretary of State of which Government Department?,Education
53,What is the art of decorating materials with marks resulting from the controlled application of a heated object?,Pyrography
54,In which event did Amy Williams win a gold medal for Britain at the 2010 Winter Olympics?,Women’s skeleton
55,What colour is the flesh of a lychee?,White
56,"Which US singer has had albums called 'Daydream', 'Butterfly', 'Rainbow' and 'Glitter'?",Mariah Carey
57,Who was Jessica Rabbit's husband?,Roger Rabbit
58,Which composer's music forms the basis of the ballet Pineapple Poll?,SULLIVAN
59,"Which singer appears as bar-owner 'JD' in the film 'Lock, Stock and two Smoking Barrels'?",Sting
60,"In the final Harry Potter novel, who becomes headmaster of Hogwarts School?",Severus Snape
61,Who wrote the play 'Private Lives'?,Noel Coward
62,In which North African country was Yves St. Laurent born as Henri Donat Mathieu?,Algeria
63,"In the George Orwell novel Animal Farm, what sort of animal was Napoleon ?",PIG
64,Who wrote the books ‘The Good Companions’ and ‘An Inspector Calls’?,J.B. Priestly
65,"Which nickname was given to the American WWII general, George Patton?",BLOOD and GUTS
66,What language did the Pennsylvania Dutch speak?,German
67,Which Indian tribe did Sitting Bull belong to?,Sioux
68,"On this day, 8th November, which famous poet who was blind in his later years, died in his home in London in 1647?",JOHN MILTON
69,"The wood from which common tree was traditionally used to make tennis racquets, snooker cues and hockey sticks",Ash
70,Who was the son of King John and Isabella of Angoulme who became King of England when 9 years old?,Henry III
71,"Which country was proclaimed a republic in 1867, following the withdrawal of the French administration and the execution of Emperor Ferdinand Maximilian?",Mexico
72,Which Grand Slam tournament uses the distinctive serving pose of the Swedish player Stefan Edberg on its logo?,Australian Open
73,Who acceded the English throne after the death of Edward III?,RICHARD II
74,"What Latin term is used to mean 'word for word', or 'exactly the same words'?",Verbatim
75,The green jersey is worn by the Tour de France's?,Best sprinter
76,How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci?,12
77,In which country did the Contras battle the Sandinistas throughout most of the 1980s?,Nicaragua
78,"""Who starred as AC Slater in """"Saved by the Bell""""?""",Mario Lopez
79,"In May 2009, Millvina Dean died aged 97. She was the last survivor of which historic event?",The sinking of the Titanic
80,What country do Legos come from originally?,Denmark
81,Which was the 50th and last state to become part of the USA?,Hawaii
82,"Who wrote the music for 'Billy Elliot, The Musical'?",ELTON JOHN
83,"Seals, sea lions and walrus belong to which suborder of manunals?",PINNIPEDIA
84,"Held just outside Bridgeville, DE, Friday marks the start of the world championship in the art of throwing what for distance, using classes such as Air, Centrifugal, Catapult, Trebuchet, and Human Powered?",Pumpkins
85,How are comedians Paul & Barry Elliot better known?,THE CHUCKLE BROTHERS
86,Which Greek goddess is the muse of erotic poetry?,Erato
87,What was the name of the dog in Enid Blighton's Famous Five books?,Timmy.
88,What dangerous type of horse race involves jumping over various fences and ditches?,Steeplechase
89,A pride is a group of what type of animal?,Lion
90,The Cantonese/Chinese dish 'foo yong' (also 'fu young') is similar to?,Omelette
91,"Prudhoe Bay Oil Field, the largest in North America, is in which US state?",ALASKA
92,"What is a large semi-aquatic rodent native to Canada, much of the United States, and parts of northern Mexico that constructs homes out of sticks, twigs, and mud in lakes or streams?",Beaver
93,The Biba boutiques were at the heart of swinging London and at one time had the highest turnover of any British retail company. Who founded and ran Biba?,Barbara Hulanicki
94,Mjosa (more precisely Mjøsa) is the largest lake of which country?,Norway
95,Which US President was known as 'The Rail-Splitter' and 'The Great Emancipator'?,ABRAHAM LINCOLN
96,Which London museum occupies part of the old Bethlehem Royal Hospital?,IMPERIAL WAR MUSEUM
97,What is the flavour of the liqueur Amaretto?,Almond
98,How often is the Oberammergau Passion Play performed?,EVERY TEN YEARS
99,Whose cottage is on the left of the Constable painting The Hay Wain?,WILLY LOTT
100,‘Wot a lot I got’ was the advertising slogan for which confectionery items?,Smarties
101,What is a cricket umpire signalling when he holds out one arm horizontally?,No Ball
102,"What is a mixture of saturated aliphatic and alicyclic C7 to C12 hydrocarbons with a maximum content of 25% of C7 to C12 alkyl aromatic hydrocarbons, which is used as an extraction, cleaning and degreasing solvent, and as a solvent in aerosols, paints, wood preservatives, lacquers, varnishes, and asphalt products?",White spirit
103,Who won the World Darts Championship 4 times in the 1980s?,Eric Bristow
104,"Which river rises on the Tibetan Plateau, flows northwest and then south and southwest to enter the Arabian Gulf in the Seven Rivers area south of Karachi?",INDUS
105,In which city is the HQ of Volkswagen cars?,Wolfsburg
106,"""Which American pop singer/songwriter who won the first season of the television series American Idol in 2002 won two Grammy Awards in 2006 - for her album """"Breakaway"""" and the single """"Since U Been Gone""""?""",Kelly Clarkson
107,"The wreck of which warship, one of the largest in the English navy of King Henry VIII in the first half of the 16th century, was rediscovered in 1971 and salvaged in October 1982?",Mary Rose
108,What seven-letter word means “A Russian tea urn”?,samovar
109,What are the first names of David and Victoria Beckham’s daughter?,Harper Seven
110,"Which Roman writer, best known for his Natural History (Naturalis Historic), died during the eruption of Vesuvius in 79AD?",Pliny
111,"Gary Numan, Cliff Richard and Crystal Gayle were all born with which surname?",Webb
112,"Because it was worn by recently freed slaves in Ancient Rome, what cap became the symbol of liberty?",Pileus
113,"What form of bridge is Tower Bridge, London?",Bascule
114,"Published in 2011, 'The House of Silk' is the first new official Sherlock Holmes mystery and was written by which author who has won many awards for his children's books?",ANTHONY HOROWITZ
115,Harrison Ford was working as what before his first big break as a film actor?,Carpenter
116,What type of animal is a shell-less gastropod?,Slug
117,"The Finch family of Maycomb, Alabama feature in which 1960 novel?",To Kill A Mockingbird
118,"Which Venetian artist, real name Jacopo Robusti, painted “The Origin of the Milky Way”?",Tintoretto
119,To which James Bond film did Nancy Sinatra sing the theme tune?,You Only Live Twice
120,Which American President was the teddy bear named after?,Theodore Roosevelt
121,What country had the Roman name Hibernia?,Ireland
122,Who won a Gold Medal for Britain in the men’s 100 metres at the 1992 Summer Olympic Games in Barcelona?,Linford Christie
123,Which was the second city to host the modern Olympic Games?,PARIS
124,The White Stripes 2003 hit single I Just Don't Know What To Do With Myself was originally a hit in 1964 for which female singer?,Dusty Springfield
125,"Coriolanus Snow, Peeta Mellark and Haymitch Abernathy are characters in which series of books?",The Hunger Games
126,"What American boxer, who celebrated his birthday on Monday, is the first in history to win 5 world titles in 5 different weight classes, and was nicknamed The Motor City Cobra or The Hitman?",Thomas Hearns
127,Which country is the world's largest producer of rice?,China
128,"Starting in Hong Kong and digging directly through the center of the Earth, in what country would you emerge?",Argentina
129,"""Which TV character had the catchphrase """"Listen very carefully; I shall say zis only once""""?""",Michelle
130,Who is the only member of Winston Churchill’s Government (a Parliamentary Secretary of Agriculture) who is still alive (95 years)?,LORD CARRINGTON
131,"Chartwell, the former home of Winston Churchill is in which county?",Kent
132,What musical instrument has the nickname 'the devil's box'?,Violin
133,In which country is Verdi's opera 'Aida' set?,EGYPT
134,Who is the Greek God of wine?,Dionysus
135,"Chequers, the Prime Minister's country residence, is in which English county?",Buckinghamshire
136,"""Who is most likely to perform a """"pas de deux""""?""",Ballet dancer
137,Which American General later President won the Battle of Horseshoe Bend?,ANDREW JACKSON
138,Which amendment to the U.S. Constitution ended slavery?,13th
